,A,B,C,D
3/11/2009,540,273.32,1164.74,575.82
3/12/2009,525,271.46,1158.27,566.72
3/13/2009,510,256.4,1119.21,537.22
3/14/2009,,,,
3/15/2009,,,,
3/16/2009,495,246.42,1079.85,512.5
3/17/2009,506.88,248.85,1093.05,522.5
3/18/2009,494.06,247.48,1070.33,534.64
3/19/2009,463.75,245,1043.72,518.49
3/20/2009,467.5,241.25,1075,521.03
3/21/2009,,,,
3/22/2009,,,,
3/23/2009,451.5,231.38,977.76,514.83
3/24/2009,436.69,229.2,917.19,497.08
3/25/2009,433.59,227.97,900,498.31
